# Access log file — entries are appended automatically when the server runs.
# Format: <timestamp> | <client_ip> | <method> <path> | <status> | <response_time_ms>
2026-07-01T10:27:41.882194 | 127.0.0.1 | GET / | 200 | 2.17ms
2026-07-01T10:29:58.435569 | 127.0.0.1 | GET /files/index.html | 200 | 0.27ms
2026-07-01T10:29:58.463314 | 127.0.0.1 | GET /files/script.js | 200 | 0.88ms
2026-07-01T10:29:58.463171 | 127.0.0.1 | GET /files/style.css | 200 | 1.53ms
2026-07-01T10:29:58.463430 | 127.0.0.1 | GET /files/css/main.css | 200 | 1.55ms
2026-07-01T10:29:58.463614 | 127.0.0.1 | GET /files/images/logo.png | 200 | 1.50ms
2026-07-01T10:29:58.467520 | 127.0.0.1 | GET /files/js/app.js | 200 | 0.37ms
2026-07-01T10:31:07.083796 | 127.0.0.1 | GET /json | 200 | 0.37ms
2026-07-01T10:31:37.564879 | 127.0.0.1 | GET /files/index.html | 200 | 0.27ms
2026-07-01T10:31:37.603783 | 127.0.0.1 | GET /files/style.css | 200 | 1.29ms
2026-07-01T10:31:37.603982 | 127.0.0.1 | GET /files/images/logo.png | 200 | 1.16ms
2026-07-01T10:31:37.603819 | 127.0.0.1 | GET /files/css/main.css | 200 | 1.16ms
2026-07-01T10:31:37.603724 | 127.0.0.1 | GET /files/script.js | 200 | 0.81ms
2026-07-01T10:31:37.608327 | 127.0.0.1 | GET /files/js/app.js | 200 | 0.58ms
2026-07-01T10:31:40.762366 | 127.0.0.1 | GET /status | 200 | 0.37ms
2026-07-01T10:32:12.765456 | 127.0.0.1 | GET /files/img.png | 404 | 0.32ms
2026-07-01T10:32:15.241443 | 127.0.0.1 | GET / | 200 | 0.32ms
